"","id","name"
"1",100644,"Alexander Zverev"
"2",100754,"Rafael Avalos Brenes"
"3",100943,"Girts Dzelde"
"4",100997,"Roger Smith"
"5",101086,"Ronald Agenor"
"6",101150,"Gianluca Pozzi"
"7",101167,"Jaime Cortes"
"8",101185,"Mark Woodforde"
"9",101191,"Richey Reneberg"
"10",101235,"Paul Haarhuis"
"11",101263,"Luke Jensen"
"12",101316,"Juan Rios"
"13",101320,"Magnus Gustafsson"
"14",101373,"Karsten Braasch"
"15",101382,"Marcelo Filippini"
"16",101404,"Thomas Muster"
"17",101416,"Joao Cunha Silva"
"18",101439,"Javier Sanchez"
"19",101463,"Bernd Karbacher"
"20",101495,"Miguel Tobon"
"21",101532,"Francisco Clavet"
"22",101543,"Jeff Tarango"
"23",101609,"David Wheaton"
"24",101611,"Cedric Pioline"
"25",101638,"Sean Karam"
"26",101647,"Byron Black"
"27",101651,"Owen Casey"
"28",101662,"Selvam Veerasingam"
"29",101675,"Martin Rodriguez"
"30",101703,"Guillaume Raoux"
"31",101711,"Alex Obrien"
"32",101717,"Diego Nargiso"
"33",101723,"Magnus Larsson"
"34",101727,"Jason Stoltenberg"
"35",101731,"Nuno Marques"
"36",101733,"Jan Siemerink"
"37",101735,"Richard Fromberg"
"38",101736,"Andre Agassi"
"39",101746,"Renzo Furlan"
"40",101750,"Cristiano Caratti"
"41",101761,"Jaime Oncins"
"42",101772,"Andrei Cherkasov"
"43",101774,"Todd Martin"
"44",101775,"Frederik Fetterlein"
"45",101779,"Pavel Vizner"
"46",101790,"Elmar Gerth"
"47",101792,"Slava Dosedel"
"48",101793,"Jim Courier"
"49",101806,"Marc Kevin Goellner"
"50",101810,"Asif Ismail"
"51",101820,"Marc Rosset"
"52",101821,"Peter Tramacchi"
"53",101825,"Manuel Tejada"
"54",101826,"Alex Lopez Moron"
"55",101831,"Mustafa Azkara"
"56",101833,"Michael Tebbutt"
"57",101840,"Jacobo Chavez"
"58",101843,"Sergi Bruguera"
"59",101855,"Emmanuel Heussner"
"60",101862,"Maurice Ruah"
"61",101868,"Dick Norman"
"62",101869,"Juan Luis Tati Rascon"
"63",101871,"Alexander Reichel"
"64",101885,"Wayne Arthurs"
"65",101888,"Daniel Vacek"
"66",101889,"Todd Woodbridge"
"67",101890,"Jonathan Stark"
"68",101895,"Michael Brown B395"
"69",101897,"Fernando Meligeni"
"70",101900,"Nicklas Kulti"
"71",101902,"Stephane Huet"
"72",101917,"Grant Stafford"
"73",101924,"Stefano Pescosolido"
"74",101932,"Jared Palmer"
"75",101937,"Robbie Koenig"
"76",101938,"Bernardo Mota"
"77",101939,"Erhan Oral"
"78",101940,"Rene Busch"
"79",101945,"Thierry Guardiola"
"80",101947,"Vincenzo Santopadre"
"81",101948,"Pete Sampras"
"82",101956,"Mark Knowles"
"83",101957,"Milen Velev"
"84",101962,"Younes El Aynaoui"
"85",101964,"Goran Ivanisevic"
"86",101965,"Wayne Ferreira"
"87",101969,"Orlin Stanoytchev"
"88",101970,"Iztok Bozic"
"89",101976,"Federico Dondo"
"90",101979,"Ricardo Mena"
"91",101989,"Patrik Langvardt"
"92",101990,"Richard Krajicek"
"93",101991,"Mauricio Hadad"
"94",101996,"David Mullins"
"95",101997,"Marzio Martelli"
"96",102021,"Michael Chang"
"97",102023,"Petr Luxa"
"98",102024,"Hernan Gumy"
"99",102025,"Mikael Tillstrom"
"100",102029,"Filip Dewulf"
"101",102033,"Abdelhak Hameurlaine"
"102",102035,"Jonas Bjorkman"
"103",102036,"Marco Osorio"
"104",102053,"Brian Macphie"
"105",102055,"Bertrand Madsen"
"106",102061,"Kevin Ullyett"
"107",102076,"Mark Merklein"
"108",102077,"Alexander Shvec"
"109",102086,"Igor Kornienko"
"110",102087,"Oleg Ogorodov"
"111",102093,"Martin Damm"
"112",102097,"Naratorn Srichaphan"
"113",102100,"Bartlomiej Dabrowski"
"114",102103,"Michael Sell"
"115",102104,"Christian Ruud"
"116",102106,"Davide Sanguinetti"
"117",102107,"Jan Frode Andersen"
"118",102110,"Daniel Nestor"
"119",102118,"Radomir Vasek"
"120",102131,"Alistair Hunt"
"121",102133,"Laurence Tieleman"
"122",102135,"Emilio Benfele Alvarez"
"123",102139,"Eyal Ran"
"124",102143,"Nicolas Thomann"
"125",102145,"Francisco Cabello"
"126",102148,"Fabrice Santoro"
"127",102153,"German Puentes"
"128",102154,"Marcos Ondruska"
"129",102158,"Patrick Rafter"
"130",102162,"Chris Woodruff"
"131",102165,"Srinath Prahlad"
"132",102167,"Juan Albert Viloca Puig"
"133",102168,"Hector Moretti"
"134",102169,"Michael Joyce"
"135",102179,"Antony Dupuis"
"136",102184,"David Prinosil"
"137",102192,"Luis Adrian Morejon"
"138",102198,"Paul Kilderry"
"139",102201,"Lionel Roux"
"140",102202,"Kenneth Carlsen"
"141",102205,"Sebastien Lareau"
"142",102207,"Jan Weinzierl"
"143",102214,"Oscar Ortiz"
"144",102215,"Joshua Eagle"
"145",102223,"Karim Alami"
"146",102227,"Sargis Sargsian"
"147",102231,"Alex Calatrava"
"148",102233,"Leander Paes"
"149",102234,"Oliver Gross"
"150",102238,"Alberto Berasategui"
"151",102239,"Francisco Costa"
"152",102243,"Marcelo Charpentier"
"153",102247,"Andrea Gaudenzi"
"154",102250,"Emanuel Couto"
"155",102251,"Mariano Hood"
"156",102254,"Ouassel Hared"
"157",102257,"Greg Rusedski"
"158",102259,"Jerome Golmard"
"159",102263,"Yong Il Yoon"
"160",102267,"Gwinyai Tongoona"
"161",102269,"Jeff Salzenstein"
"162",102271,"Hicham Arazi"
"163",102277,"Bing Chao Lin"
"164",102282,"Tetsuya Chaen"
"165",102283,"Yari Bernardo"
"166",102285,"Nasser Ghanim Al Khulaifi"
"167",102286,"Wayne Black"
"168",102287,"Albert Portas"
"169",102300,"Gouichi Motomura"
"170",102306,"Michael Kohlmann"
"171",102310,"Seung Bok Baek"
"172",102318,"Andrei Pavel"
"173",102320,"Lazaro Navarro Batles"
"174",102331,"Ilou Lonfo"
"175",102335,"Taso Vasiliadis"
"176",102338,"Yevgeny Kafelnikov"
"177",102344,"Karol Kucera"
"178",102347,"Dmitri Tomashevich"
"179",102358,"Thomas Enqvist"
"180",102362,"Amro Ghoneim"
"181",102369,"Julien Boutter"
"182",102374,"Alex Corretja"
"183",102375,"Dinu Pescariu"
"184",102381,"Werner Eschauer"
"185",102382,"Julian Knowle"
"186",102388,"Simon Aspelin"
"187",102395,"Ville Liukko"
"188",102401,"Scott Draper"
"189",102405,"Mahesh Bhupathi"
"190",102406,"Thomas Dupre"
"191",102410,"David Caldwell"
"192",102422,"Michael Hill"
"193",102425,"Niko Karagiannis"
"194",102433,"Mose Navarra"
"195",102434,"Vincent Spadea"
"196",102437,"Adrian Voinea"
"197",102443,"Barry Cowan"
"198",102444,"Scott Barron"
"199",102446,"Andrei Medvedev"
"200",102448,"Ali Hamadeh"
"201",102450,"Tim Henman"
"202",102455,"Lorenzo Manta"
"203",102456,"Felix Mantilla"
"204",102457,"Miles Maclagan"
"205",102458,"Jim Thomas"
"206",102463,"Lucas Arnold Ker"
"207",102464,"Todd Larkham"
"208",102466,"Jan Kroslak"
"209",102467,"Fazaluddin Syed"
"210",102469,"Solon Peppas"
"211",102472,"Marcello Craca"
"212",102473,"Thomas Schiessling"
"213",102477,"Gaston Etlis"
"214",102494,"Tomas Behrend"
"215",102496,"Scott Willinsky"
"216",102497,"Mashiska Washington"
"217",102501,"Johan Landsberg"
"218",102502,"Paul Harsanyi"
"219",102512,"Joseph Sirianni"
"220",102520,"Olivier Malcor"
"221",102521,"Hendrik Dreekmann"
"222",102524,"Neville Godwin"
"223",102528,"Carlos Drada"
"224",102529,"Thomas Shimada"
"225",102533,"Jens Knippschild"
"226",102536,"James Greenhalgh"
"227",102537,"Melvin Tong"
"228",102538,"Tuomas Ketola"
"229",102539,"Bohdan Ulihrach"
"230",102543,"Chia Yen Tsai"
"231",102544,"Pablo Bianchi"
"232",102545,"Pedro Braga"
"233",102548,"Juan Antonio Marin"
"234",102549,"Rolandas Murashka"
"235",102552,"Baris Ergun"
"236",102554,"Diego Moyano"
"237",102556,"Claude Ngoran"
"238",102557,"Daniel Willman"
"239",102558,"Eric Taino"
"240",102562,"Jiri Novak"
"241",102563,"Thomas Johansson"
"242",102565,"Alexander Waske"
"243",102567,"George Bastl"
"244",102571,"Gregory Carraz"
"245",102572,"Igor Gaudi"
"246",102574,"Gabriel Trifu"
"247",102585,"Sebastian Prieto"
"248",102595,"Helge Koll"
"249",102600,"David Miketa"
"250",102603,"Melvyn Op Der Heijde"
"251",102607,"Juan Balcells"
"252",102610,"Albert Costa"
"253",102615,"Dennis Van Scheppingen"
"254",102617,"Kim Tiilikainen"
"255",102623,"Thomas Larsen"
"256",102629,"Oscar Burrieza"
"257",102630,"Slimane Saoudi"
"258",102642,"Cyril Saulnier"
"259",102644,"Franco Squillari"
"260",102647,"Alberto Brause"
"261",102650,"Roberto Carretero"
"262",102652,"Christian Vinck"
"263",102655,"Jimy Szymanski"
"264",102667,"Satoshi Iwabuchi"
"265",102668,"Tapio Nurminen"
"266",102669,"Noam Behr"
"267",102687,"Herbert Wiltschnig"
"268",102689,"Martin Spottl"
"269",102693,"Leonardo Olguin"
"270",102694,"Lars Burgsmuller"
"271",102696,"Guillaume Couillard"
"272",102701,"Marcelo Rios"
"273",102702,"Relja Fiser Dulic"
"274",102703,"Hyung Taik Lee"
"275",102713,"Jing Zhu Yang"
"276",102714,"Ekkarin Pisuth Arnonth"
"277",102715,"Ignacio Hirigoyen"
"278",102720,"Tomas Zib"
"279",102722,"Attila Savolt"
"280",102725,"Kasper Warming"
"281",102730,"Ivo Heuberger"
"282",102734,"Lior Mor"
"283",102735,"Cedric Kauffmann"
"284",102737,"Gergely Kisgyorgy"
"285",102738,"Stefano Tarallo"
"286",102740,"Francisco Rodriguez"
"287",102743,"Ben Ellwood"
"288",102751,"Todd Perry"
"289",102753,"Wolfgang Schranz"
"290",102755,"Alex Witt"
"291",102756,"Eduardo Rincon"
"292",102763,"Benjamin Cassaigne"
"293",102765,"Nicolas Escude"
"294",102768,"Federico Browne"
"295",102770,"John Van Lottum"
"296",102772,"Yu Zhang"
"297",102776,"Andrew Ilie"
"298",102780,"Frederic Niemeyer"
"299",102783,"Rainer Schuettler"
"300",102785,"Glenn Weiner"
"301",102788,"Jan Vacek"
"302",102789,"Jay Gooding"
"303",102795,"Scott Humphries"
"304",102796,"Magnus Norman"
"305",102800,"Nenad Zimonjic"
"306",102802,"Gunther Darkey"
"307",102805,"Matthew Breen"
"308",102808,"Kalle Flygt"
"309",102809,"Axel Pretzsch"
"310",102811,"Dusan Vemic"
"311",102812,"Jicham Zaatini"
"312",102814,"Iurie Gorban"
"313",102817,"Edwin Kempes"
"314",102821,"Cecil Mamiit"
"315",102826,"Muhammad Khaliq Siddiq"
"316",102830,"Paulo Carvallo"
"317",102831,"Jacobo Diaz"
"318",102832,"Andrian Raturandang"
"319",102834,"Paul Goldstein"
"320",102835,"Luke Milligan"
"321",102836,"Rogier Wassen"
"322",102839,"Nicolas Lapentti"
"323",102843,"Suwandi Suwandi"
"324",102845,"Carlos Moya"
"325",102851,"Giorgio Galimberti"
"326",102854,"Sjeng Schalken"
"327",102855,"Jack Brasington"
"328",102856,"Gustavo Kuerten"
"329",102860,"Agustin Calleri"
"330",102863,"Takao Suzuki"
"331",102864,"Frank Moser"
"332",102865,"Doug Bohaboy"
"333",102868,"Jonathan Printzlau"
"334",102869,"Galo Blanco"
"335",102872,"James Sekulov"
"336",102873,"Rob Cheyne"
"337",102875,"Luke Smith"
"338",102880,"Alexander Popp"
"339",102881,"David Skoch"
"340",102882,"Mark Philippoussis"
"341",102885,"Vishal Uppal"
"342",102886,"Frantisek Cermak"
"343",102887,"Ramon Delgado"
"344",102889,"Hee Sung Chung"
"345",102902,"Thomas Blake"
"346",102904,"Leos Friedl"
"347",102905,"Stefan Koubek"
"348",102910,"Salvador Navarro"
"349",102911,"Andrei Stoliarov"
"350",102918,"Efe Ustundag"
"351",102921,"Ota Fukarek"
"352",102925,"Justin Gimelstob"
"353",102928,"Hee Seok Chung"
"354",102934,"Nicolas Coutelot"
"355",102938,"Alejandro Olivera"
"356",102942,"Vladimir Pavicevic"
"357",102944,"Stefano Cobolli"
"358",102945,"Luke Bourgeois"
"359",102948,"Oliver Freelove"
"360",102950,"Fernando Vicente"
"361",102956,"Sultan Khalfan"
"362",102957,"Vadim Kutsenko"
"363",102959,"Marko Tkalec"
"364",102961,"Nicklas Timfjord"
"365",102963,"Robert Lindstedt"
"366",102965,"Jamie Delgado"
"367",102966,"Fredrik Jonsson"
"368",102967,"Marc Gicquel"
"369",102968,"Jonathan Erlich"
"370",102969,"Sergei Yaroshenko"
"371",102971,"Christophe Bosio"
"372",102978,"Zbynek Mlynarik"
"373",102979,"Jeff Coetzee"
"374",102982,"Yaoki Ishii"
"375",102983,"Henrik Andersson"
"376",102984,"Martin Garcia"
"377",102985,"Gustavo Marcaccio"
"378",102987,"Andre Sa"
"379",102997,"Hermes Gamonal"
"380",102998,"Jan Michael Gambill"
"381",102999,"Stefano Galvani"
"382",103003,"Jean Francois Bachelot"
"383",103007,"Mounir El Aarej"
"384",103009,"Razvan Sabau"
"385",103015,"Daniel Melo"
"386",103017,"Nicolas Kiefer"
"387",103018,"Max Mirnyi"
"388",103020,"Guillermo Carter"
"389",103029,"Mehdi Tahiri"
"390",103031,"Julian Alonso"
"391",103032,"Francisco Fogues"
"392",103033,"Helder Lopes"
"393",103035,"Alessio Di Mauro"
"394",103037,"Andrew Carlson"
"395",103039,"Tripp Phillips"
"396",103043,"Coenie Van Wyk"
"397",103045,"Reginald Willems"
"398",103046,"Janne Ojala"
"399",103047,"Julien Varlet"
"400",103050,"Shahab Hassani Nafez"
"401",103052,"Mariano Delfino"
"402",103053,"Nikos Rovas"
"403",103060,"Alejandro Hernandez"
"404",103061,"Jan Boruszewski"
"405",103063,"Sebastien De Chaunac"
"406",103065,"Kepler Orellana"
"407",103066,"Mark Nielsen"
"408",103068,"Chemseddine Belal"
"409",103070,"Christophe Pognon"
"410",103076,"Justin Oneal"
"411",103077,"Konstantinos Economidis"
"412",103080,"Paul Hanley"
"413",103082,"Markus Hantschk"
"414",103084,"Guillermo Canas"
"415",103092,"Nuno Matias"
"416",103096,"Arnaud Clement"
"417",103097,"Trevor Spracklin"
"418",103102,"John Hui"
"419",103103,"Dominik Hrbaty"
"420",103104,"Bjorn Rehnquist"
"421",103105,"Ruben Ramirez Hidalgo"
"422",103109,"Talal Ouahabi"
"423",103110,"Daniele Bracciali"
"424",103114,"Martin Lee"
"425",103118,"Ion Moldovan"
"426",103125,"Joan Jimenez Guerra"
"427",103130,"Louis Vosloo"
"428",103131,"Michihisa Onoda"
"429",103133,"Olivier Mutis"
"430",103142,"Mohamed Wafa"
"431",103145,"Amir Hadad"
"432",103149,"Mathias Hellstrom"
"433",103151,"Mariano Zabaleta"
"434",103153,"Gilles Elseneer"
"435",103154,"Jaymon Crabb"
"436",103155,"Ivo Bratanov"
"437",103157,"Arvind Parmar"
"438",103158,"Johan Ortegren"
"439",103162,"Dejan Petrovic"
"440",103163,"Tommy Haas"
"441",103165,"Gorka Fraile"
"442",103166,"Vladimir Voltchkov"
"443",103169,"Oscar Hernandez"
"444",103171,"Raemon Sluiter"
"445",103174,"Noam Okun"
"446",103175,"Toshihide Matsui"
"447",103176,"David Sanchez"
"448",103178,"Johan Settergren"
"449",103181,"Jiri Vanek"
"450",103182,"Markus Hipfl"
"451",103184,"Bob Bryan"
"452",103185,"Mike Bryan"
"453",103187,"Hisham Hemeda"
"454",103188,"Michael Russell"
"455",103193,"Peter Wessels"
"456",103197,"John Doran"
"457",103198,"Justin Bower"
"458",103201,"Adrian Garcia"
"459",103202,"Oscar Serrano"
"460",103204,"Hugo Armando"
"461",103205,"Emilio Daniel Baez Britez"
"462",103206,"Sebastien Grosjean"
"463",103209,"Leonardo Azzaro"
"464",103216,"Clemens Trimmel"
"465",103220,"Oh Hee Kwon"
"466",103225,"Simon Larose"
"467",103226,"Walid Jallali"
"468",103227,"Mariano Sanchez"
"469",103228,"Marcos Daniel"
"470",103229,"Kornel Bardoczky"
"471",103230,"Tasuku Iwami"
"472",103238,"Jean Claude Scherrer"
"473",103239,"Marcus Sarstrand"
"474",103240,"Kevin Kim"
"475",103242,"Juan Giner"
"476",103248,"Harel Levy"
"477",103250,"Rodolphe Cadart"
"478",103252,"Alberto Martin"
"479",103254,"Yves Allegro"
"480",103256,"Ivan Vajda"
"481",103264,"Mariano Puerta"
"482",103270,"Kristian Capalik"
"483",103273,"Dong Hyun Kim"
"484",103280,"Martin Verkerk"
"485",103281,"Ladislav Svarc"
"486",103282,"Tiago Sousa"
"487",103285,"Radek Stepanek"
"488",103286,"Yohny Romero"
"489",103287,"Krystian Pfeiffer"
"490",103290,"Radim Zitko"
"491",103292,"Gaston Gaudio"
"492",103294,"Christophe Rochus"
"493",103296,"Ivaylo Traykov"
"494",103297,"Alex Kim"
"495",103305,"Daniel Elsner"
"496",103316,"Victor Romero"
"497",103317,"Gabor Jaross"
"498",103318,"Zeljko Krajan"
"499",103319,"Jeff Morrison"
"500",103324,"Arnaud Di Pasquale"
"501",103325,"Wesley Moodie"
"502",103328,"Andres Pedroso"
"503",103333,"Ivo Karlovic"
"504",103334,"Ronaldo Carvalho"
"505",103337,"Ben Qiang Zhu"
"506",103339,"Wesley Whitehouse"
"507",103342,"Miha Gregorc"
"508",103344,"Ivan Ljubicic"
"509",103348,"Timo Fleischfresser"
"510",103350,"Denis Golovanov"
"511",103353,"Ingo Neumuller"
"512",103356,"Michel Kratochvil"
"513",103358,"Nicolas Todero"
"514",103363,"Diego Ayala"
"515",103365,"Javier Garcia Sintes"
"516",103369,"Melle Van Gemerden"
"517",103371,"Emin Agaev"
"518",103373,"Sergio Roitman"
"519",103377,"Seung Hoon Lee"
"520",103381,"Andy Fahlke"
"521",103385,"Paul Baccanello"
"522",103387,"Paradorn Srichaphan"
"523",103393,"Yuri Schukin"
"524",103395,"Julio Silva"
"525",103397,"Alexandre Simoni"
"526",103400,"Hendri Susilo Pramono"
"527",103401,"Jan Hernych"
"528",103402,"Peter Clarke"
"529",103403,"Takahiro Terachi"
"530",103407,"Matt Klinger"
"531",103408,"Brian Vahaly"
"532",103413,"Genius Chidzikwe"
"533",103419,"Gabriel Montilla"
"534",103420,"Michal Tabara"
"535",103421,"Peter Handoyo"
"536",103422,"Sebastian Fitz"
"537",103424,"Tobias Clemens"
"538",103427,"Yew Ming Si"
"539",103428,"Juan Ignacio Chela"
"540",103429,"Peter Luczak"
"541",103435,"Massimo Dellacqua"
"542",103437,"Francesco Piccari"
"543",103439,"Dimitri Mazur"
"544",103444,"Jean Rene Lisnard"
"545",103448,"Gabriel Trujillo Soler"
"546",103451,"Bjorn Phau"
"547",103454,"Nicolas Massu"
"548",103455,"Michal Mertinak"
"549",103457,"Petr Kralert"
"550",103460,"Konstantin Don Gruber"
"551",103465,"Paul Logtens"
"552",103467,"Victor Bruthans"
"553",103468,"Harsh Mankad"
"554",103470,"Robert Kendrick"
"555",103472,"Karim Maamoun"
"556",103478,"Diego Veronelli"
"557",103483,"James Shortall"
"558",103484,"James Blake"
"559",103487,"Federico Luzzi"
"560",103490,"Santiago Ventura"
"561",103491,"Mads Gottlieb"
"562",103497,"Artem Derepasko"
"563",103498,"Marat Safin"
"564",103499,"Aqeel Khan"
"565",103503,"Robin Vik"
"566",103504,"Febi Widhiyanto"
"567",103505,"Vasilis Mazarakis"
"568",103506,"Martin Vassallo Arguello"
"569",103507,"Juan Carlos Ferrero"
"570",103510,"Rob Steckley"
"571",103514,"Young Jun Kim"
"572",103516,"Nathan Healey"
"573",103520,"Pavel Snobel"
"574",103521,"Andrea Stoppini"
"575",103523,"Rohan Bopanna"
"576",103525,"Ivan Miranda"
"577",103527,"Julien Jeanpierre"
"578",103529,"Aisam Ul Haq Qureshi"
"579",103530,"Zack Fleishman"
"580",103531,"Thomas Oger"
"581",103534,"Nicolas Devilder"
"582",103535,"Olivier Patience"
"583",103538,"James Auckland"
"584",103543,"David Marrero"
"585",103544,"Andy Ram"
"586",103546,"Patricio Arquez"
"587",103553,"Alun Jones"
"588",103559,"David Sherwood"
"589",103560,"KJ Hippensteel"
"590",103563,"Gabriel Pitta"
"591",103564,"Jakub Herm Zahlava"
"592",103565,"Stephane Robert"
"593",103566,"Michael Llodra"
"594",103568,"Valentin Sanon"
"595",103573,"Rik De Voest"
"596",103577,"Christopher Kas"
"597",103580,"Alexander Peya"
"598",103581,"Flavio Saretta"
"599",103582,"Michael Berrer"
"600",103583,"Evghenii Plugariov"
"601",103586,"Mariusz Fyrstenberg"
"602",103590,"Michael Quintero"
"603",103592,"Jerome Haehnel"
"604",103593,"Marcelo Barboza"
"605",103594,"Oliver Marach"
"606",103598,"Xavier Malisse"
"607",103600,"Mohammad Ghareeb"
"608",103602,"Fernando Gonzalez"
"609",103607,"Victor Estrella"
"610",103609,"Matthew Behrmann"
"611",103612,"Alexey Kedryuk"
"612",103621,"Igor Levine"
"613",103623,"Jacob Adaktusson"
"614",103626,"Tomas Tenconi"
"615",103630,"Martijn Van Haasteren"
"616",103632,"Luis Horna"
"617",103637,"Marcelo Amador"
"618",103638,"Jhonson Garcia"
"619",103642,"Shan Jiang"
"620",103643,"Lauri Kiiski"
"621",103645,"Balazs Veress"
"622",103646,"Lars Uebel"
"623",103647,"Jun Kato"
"624",103649,"Esat Tanik"
"625",103653,"Jasper Smit"
"626",103656,"Albert Montanes"
"627",103657,"Ivo Klec"
"628",103659,"Wei Jen Cheng"
"629",103663,"Matias Boeker"
"630",103666,"Ilia Kushev"
"631",103668,"Lazar Magdincev"
"632",103672,"Ricardo Mello"
"633",103674,"Jonathan Igbinovia"
"634",103675,"Diego Junqueira"
"635",103676,"Michael Yani"
"636",103677,"Andreas Fasching"
"637",103682,"Kyu Tae Im"
"638",103684,"Benedikt Dorsch"
"639",103690,"Marcin Matkowski"
"640",103693,"Thierry Ascione"
"641",103694,"Olivier Rochus"
"642",103699,"Fred Hemmes"
"643",103700,"Juan Pablo Guzman"
"644",103701,"Diego Hartfield"
"645",103702,"Stefano Ianni"
"646",103704,"Vladimir Obradovic"
"647",103708,"Jaroslav Pospisil"
"648",103709,"Kristian Pless"
"649",103711,"Jaroslav Levinsky"
"650",103714,"Andreas Vinciguerra"
"651",103715,"Kirill Ivanov Smolensky"
"652",103716,"Uros Vico"
"653",103718,"David Martin"
"654",103719,"Ruben Torres"
"655",103720,"Lleyton Hewitt"
"656",103722,"Florent Serra"
"657",103726,"Jean Christophe Faurel"
"658",103727,"Daniel Langre"
"659",103730,"Jonathan Marray"
"660",103735,"Lovro Zovko"
"661",103736,"Diego Acuna"
"662",103737,"Edgardo Massa"
"663",103739,"Jose De Armas"
"664",103746,"Miguel Gallardo Valles"
"665",103747,"Dominik Meffert"
"666",103748,"Jan Minar"
"667",103751,"Jonas Froberg"
"668",103752,"Simon Greul"
"669",103754,"Mark Hilton"
"670",103758,"Taylor Dent"
"671",103760,"Haluk Akkoyun"
"672",103761,"Tomas Cakl"
"673",103762,"John Paul Fruttero"
"674",103763,"Martin Slanar"
"675",103770,"Kevin Sorensen"
"676",103775,"Felipe Parada"
"677",103781,"Jurgen Melzer"
"678",103782,"Rameez Junaid"
"679",103786,"Nikolay Davydenko"
"680",103789,"Irakli Labadze"
"681",103792,"Joji Miyao"
"682",103794,"Benjamin Becker"
"683",103799,"Eric Prodon"
"684",103803,"Ashkan Shokoofi"
"685",103805,"Catalin Gard"
"686",103807,"Raimonds Sproga"
"687",103808,"Potito Starace"
"688",103812,"Victor Hanescu"
"689",103813,"Jarkko Nieminen"
"690",103817,"Yu Jr Wang"
"691",103819,"Roger Federer"
"692",103820,"Alan Mackin"
"693",103821,"Danai Udomchoke"
"694",103822,"Scott Lipsky"
"695",103823,"Denis Gremelmayr"
"696",103824,"Orest Tereshchuk"
"697",103825,"Zsolt Tatar"
"698",103826,"Carlos Palencia"
"699",103828,"Jean Julien Rojer"
"700",103829,"Cristian Paiz"
"701",103830,"Shao Xuan Zeng"
"702",103834,"Levar Harper Griffith"
"703",103835,"Filippo Volandri"
"704",103837,"Didac Perez"
"705",103841,"Julio Peralta"
"706",103843,"Marco Chiudinelli"
"707",103847,"Adrian Bohane"
"708",103849,"Francesco Aldi"
"709",103850,"Sebastian Decoud"
"710",103851,"Conor Niland"
"711",103852,"Feliciano Lopez"
"712",103857,"Igor Kunitsyn"
"713",103860,"Timo Nieminen"
"714",103862,"Michail Elgin"
"715",103863,"Mikhail Elgin"
"716",103864,"Mohamed Mamoun"
"717",103865,"Prima Simpatiaji"
"718",103868,"Ivan Navarro"
"719",103872,"Dimitar Grabuloski"
"720",103875,"Anoosha Shahgholi"
"721",103877,"Mike Scheidweiler"
"722",103878,"Zach Dailey"
"723",103882,"Adrians Zguns"
"724",103888,"Mardy Fish"
"725",103891,"Alexandros Jakupovic"
"726",103893,"Paolo Lorenzi"
